male	allen	10	299.32
female	joe	27	284.93
female	jane	1	57.45
male	lily	14	284.57
female	Bob	18	289.97
male	lily	4	742.03
female	jane	31	42.41
male	Bob	13	114.46
male	joe	22	459.77
male	joe	7	482.22
female	allen	10	419.40
female	joe	2	241.93
female	allen	20	1.87
female	allen	5	629.11
female	allen	30	481.56
female	jane	26	506.61
male	joe	7	1.43
female	joe	2	461.92
female	joe	32	203.83
female	joe	2	61.22
female	joe	2	118.76
male	Bob	13	184.48
female	jane	31	161.98
male	Bob	13	0.53
female	joe	2	315.10
male	allen	20	196.49
female	allen	30	125.87
female	Bob	3	669.22
female	allen	30	40.67
female	Bob	33	52.87
female	Bob	13	18.46
male	lily	24	355.84
female	joe	12	907.41
female	jane	21	78.37
female	lily	4	126.07
female	joe	32	0.95
male	Bob	23	420.82
female	allen	25	569.88
female	joe	27	252.09
female	jane	11	109.16
female	jane	26	51.66
female	allen	25	585.91
male	lily	4	646.24
male	allen	30	207.94
female	lily	14	23.10
male	allen	10	704.28
male	lily	14	166.25
female	jane	1	43.06
female	joe	17	1.81
female	jane	31	421.28
male	jane	6	475.12
female	joe	7	273.98
male	jane	21	393.65
female	allen	5	23.19
male	Bob	18	369.13
female	allen	30	2.80
female	jane	21	361.70
male	joe	22	197.27
female	joe	32	49.59
female	jane	21	420.50
female	joe	22	149.04
female	jane	26	787.71
female	lily	29	321.85
female	Bob	23	16.60
female	Bob	13	4.16
male	joe	7	305.03
male	lily	34	147.18
male	joe	12	373.51
male	Bob	18	94.59
male	jane	6	10.68
male	lily	24	497.82
male	Bob	23	77.73
female	lily	19	90.61
male	allen	0	446.62
female	joe	2	184.14
male	joe	32	230.99
male	lily	9	614.32
male	jane	21	54.04
female	allen	30	343.77
male	Bob	3	87.56
male	jane	21	189.55
male	jane	21	738.80
male	joe	32	2.72
female	allen	25	291.69
male	lily	24	486.99
male	Bob	18	54.00
male	jane	26	84.28
male	lily	9	204.21
female	Bob	13	623.68
male	joe	12	184.38
female	allen	15	122.56
male	jane	1	46.79
male	lily	24	541.56
male	lily	34	31.72
male	allen	0	0.00
male	joe	32	80.90
male	jane	16	238.51
female	jane	16	284.82
female	allen	20	35.02
